date, s2, s1
Thu Jan 28 19:38:07 2021,6.845,6.488

Thu Jan 28 19:38:50 2021,6.842,6.490

Thu Jan 28 19:39:33 2021,6.842,6.488

Thu Jan 28 19:40:16 2021,6.844,6.489

Thu Jan 28 19:40:59 2021,6.844,6.492

Thu Jan 28 19:41:42 2021,6.844,6.489

Thu Jan 28 19:42:25 2021,6.844,6.487

Thu Jan 28 19:43:08 2021,6.846,6.489

Thu Jan 28 19:43:51 2021,6.844,6.491

Thu Jan 28 19:44:34 2021,6.845,6.493

Thu Jan 28 19:45:16 2021,6.846,6.490

Thu Jan 28 19:45:59 2021,6.847,6.492

Thu Jan 28 19:46:42 2021,6.848,6.489

Thu Jan 28 19:47:25 2021,6.847,6.492

Thu Jan 28 19:48:08 2021,6.844,6.490

Thu Jan 28 19:48:51 2021,6.847,6.492

Thu Jan 28 19:49:34 2021,6.842,6.490

Thu Jan 28 19:50:17 2021,6.847,6.492

Thu Jan 28 19:51:00 2021,6.845,6.492

Thu Jan 28 19:51:43 2021,6.845,6.488

Thu Jan 28 19:52:26 2021,6.845,6.486

Thu Jan 28 19:53:09 2021,6.848,6.493

Thu Jan 28 19:53:52 2021,6.846,6.494

Thu Jan 28 19:54:35 2021,6.847,6.492

Thu Jan 28 19:55:18 2021,6.845,6.495

Thu Jan 28 19:56:01 2021,6.848,6.493

Thu Jan 28 19:56:44 2021,6.848,6.493

Thu Jan 28 19:57:27 2021,6.850,6.495

Thu Jan 28 19:58:10 2021,6.847,6.494

Thu Jan 28 19:58:53 2021,6.848,6.493

Thu Jan 28 19:59:36 2021,6.848,6.490

Thu Jan 28 20:00:19 2021,6.845,6.493

Thu Jan 28 20:01:02 2021,6.846,6.491

Thu Jan 28 20:01:45 2021,6.847,6.497

Thu Jan 28 20:02:28 2021,6.847,6.494

Thu Jan 28 20:03:11 2021,6.847,6.492

Thu Jan 28 20:03:53 2021,6.847,6.494

Thu Jan 28 20:04:36 2021,6.845,6.493

Thu Jan 28 20:05:19 2021,6.846,6.495

Thu Jan 28 20:06:02 2021,6.847,6.492

Thu Jan 28 20:06:45 2021,6.845,6.490

Thu Jan 28 20:07:28 2021,6.846,6.493

Thu Jan 28 20:08:11 2021,6.845,6.488

Thu Jan 28 20:08:54 2021,6.844,6.492

Thu Jan 28 20:09:37 2021,6.844,6.491

Thu Jan 28 20:10:20 2021,6.845,6.495

Thu Jan 28 20:11:03 2021,6.846,6.493

Thu Jan 28 20:11:46 2021,6.846,6.495

Thu Jan 28 20:12:29 2021,6.848,6.493

Thu Jan 28 20:13:12 2021,6.848,6.494

Thu Jan 28 20:13:55 2021,6.846,6.494

Thu Jan 28 20:14:38 2021,6.847,6.495

Thu Jan 28 20:15:21 2021,6.848,6.492

Thu Jan 28 20:16:04 2021,6.848,6.496

Thu Jan 28 20:16:47 2021,6.847,6.494

Thu Jan 28 20:17:30 2021,6.847,6.493

Thu Jan 28 20:18:13 2021,6.849,6.492

Thu Jan 28 20:18:56 2021,6.847,6.495

Thu Jan 28 20:19:39 2021,6.847,6.496

Thu Jan 28 20:20:22 2021,6.848,6.498

Thu Jan 28 20:21:05 2021,6.847,6.500

Thu Jan 28 20:21:48 2021,6.848,6.497

Thu Jan 28 20:22:31 2021,6.849,6.496

Thu Jan 28 20:23:13 2021,6.849,6.498

Thu Jan 28 20:23:56 2021,6.848,6.497

Thu Jan 28 20:24:39 2021,6.848,6.499

Thu Jan 28 20:25:22 2021,6.848,6.496

Thu Jan 28 20:26:05 2021,6.849,6.502

Thu Jan 28 20:26:48 2021,6.847,6.498

Thu Jan 28 20:27:31 2021,6.848,6.500

Thu Jan 28 20:28:14 2021,6.849,6.499

Thu Jan 28 20:28:57 2021,6.850,6.499

Thu Jan 28 20:29:40 2021,6.848,6.499

Thu Jan 28 20:30:23 2021,6.850,6.503

Thu Jan 28 20:31:06 2021,6.849,6.500

Thu Jan 28 20:31:49 2021,6.849,6.504

Thu Jan 28 20:32:32 2021,6.849,6.502

Thu Jan 28 20:33:15 2021,6.847,6.502

Thu Jan 28 20:33:58 2021,6.850,6.499

Thu Jan 28 20:34:41 2021,6.850,6.502

Thu Jan 28 20:35:24 2021,6.849,6.501

Thu Jan 28 20:36:07 2021,6.850,6.501

Thu Jan 28 20:36:50 2021,6.848,6.505

Thu Jan 28 20:37:33 2021,6.851,6.501

Thu Jan 28 20:38:16 2021,6.849,6.503

Thu Jan 28 20:38:59 2021,6.848,6.503

Thu Jan 28 20:39:42 2021,6.848,6.501

Thu Jan 28 20:40:25 2021,6.848,6.501

Thu Jan 28 20:41:08 2021,6.849,6.505

Thu Jan 28 20:41:51 2021,6.850,6.501

Thu Jan 28 20:42:33 2021,6.850,6.501

Thu Jan 28 20:43:16 2021,6.849,6.500

Thu Jan 28 20:43:59 2021,6.849,6.499

Thu Jan 28 20:44:42 2021,6.848,6.500

Thu Jan 28 20:45:25 2021,6.849,6.500

Thu Jan 28 20:46:08 2021,6.849,6.502

Thu Jan 28 20:46:51 2021,6.848,6.501

Thu Jan 28 20:47:34 2021,6.849,6.501

Thu Jan 28 20:48:17 2021,6.851,6.504

Thu Jan 28 20:49:00 2021,6.847,6.500

Thu Jan 28 20:49:43 2021,6.849,6.497

Thu Jan 28 20:50:26 2021,6.850,6.499

Thu Jan 28 20:51:09 2021,6.850,6.500

Thu Jan 28 20:51:52 2021,6.852,6.502

Thu Jan 28 20:52:35 2021,6.849,6.504

Thu Jan 28 20:53:18 2021,6.849,6.503

Thu Jan 28 20:54:01 2021,6.849,6.504

Thu Jan 28 20:54:44 2021,6.849,6.501

Thu Jan 28 20:55:27 2021,6.848,6.503

Thu Jan 28 20:56:10 2021,6.848,6.503

Thu Jan 28 20:56:53 2021,6.848,6.499

Thu Jan 28 20:57:36 2021,6.849,6.502

Thu Jan 28 20:58:19 2021,6.852,6.502

Thu Jan 28 20:59:02 2021,6.849,6.506

Thu Jan 28 20:59:44 2021,6.849,6.504

Thu Jan 28 21:00:27 2021,6.850,6.503

Thu Jan 28 21:01:10 2021,6.849,6.504

Thu Jan 28 21:01:53 2021,6.850,6.504

Thu Jan 28 21:02:36 2021,6.849,6.506

Thu Jan 28 21:03:19 2021,6.850,6.508

Thu Jan 28 21:04:02 2021,6.850,6.508

Thu Jan 28 21:04:45 2021,6.852,6.508

Thu Jan 28 21:05:28 2021,6.851,6.507

Thu Jan 28 21:06:11 2021,6.853,6.506

Thu Jan 28 21:06:54 2021,6.852,6.505

Thu Jan 28 21:07:37 2021,6.852,6.507

Thu Jan 28 21:08:20 2021,6.851,6.509

Thu Jan 28 21:09:03 2021,6.854,6.506

Thu Jan 28 21:09:46 2021,6.853,6.510

Thu Jan 28 21:10:29 2021,6.854,6.506

Thu Jan 28 21:11:12 2021,6.855,6.508

Thu Jan 28 21:11:55 2021,6.853,6.508

Thu Jan 28 21:12:38 2021,6.851,6.507

Thu Jan 28 21:13:21 2021,6.851,6.507

Thu Jan 28 21:14:04 2021,6.849,6.511

Thu Jan 28 21:14:47 2021,6.847,6.510

Thu Jan 28 21:15:30 2021,6.845,6.510

Thu Jan 28 21:16:13 2021,6.844,6.507

Thu Jan 28 21:16:56 2021,6.847,6.513

Thu Jan 28 21:17:39 2021,6.846,6.511

Thu Jan 28 21:18:21 2021,6.845,6.509

Thu Jan 28 21:19:04 2021,6.844,6.510

Thu Jan 28 21:19:47 2021,6.844,6.510

Thu Jan 28 21:20:30 2021,6.847,6.506

Thu Jan 28 21:21:13 2021,6.846,6.510

Thu Jan 28 21:21:56 2021,6.846,6.510

Thu Jan 28 21:22:39 2021,6.845,6.509

Thu Jan 28 21:23:22 2021,6.844,6.514

Thu Jan 28 21:24:05 2021,6.844,6.509

Thu Jan 28 21:24:48 2021,6.847,6.512

Thu Jan 28 21:25:31 2021,6.844,6.512

Thu Jan 28 21:26:14 2021,6.844,6.511

Thu Jan 28 21:26:57 2021,6.846,6.512

Thu Jan 28 21:27:40 2021,6.846,6.512

Thu Jan 28 21:28:23 2021,6.847,6.510

Thu Jan 28 21:29:06 2021,6.844,6.509

Thu Jan 28 21:29:49 2021,6.846,6.511

Thu Jan 28 21:30:32 2021,6.845,6.511

Thu Jan 28 21:31:15 2021,6.847,6.511

Thu Jan 28 21:31:58 2021,6.845,6.512

Thu Jan 28 21:32:41 2021,6.846,6.512

Thu Jan 28 21:33:24 2021,6.847,6.512

Thu Jan 28 21:34:06 2021,6.845,6.510

Thu Jan 28 21:34:49 2021,6.847,6.512

Thu Jan 28 21:35:32 2021,6.848,6.510

Thu Jan 28 21:36:15 2021,6.848,6.515

Thu Jan 28 21:36:58 2021,6.846,6.512

Thu Jan 28 21:37:41 2021,6.845,6.514

Thu Jan 28 21:38:24 2021,6.846,6.510

Thu Jan 28 21:39:07 2021,6.845,6.513

Thu Jan 28 21:39:50 2021,6.845,6.519

Thu Jan 28 21:40:33 2021,6.845,6.512

Thu Jan 28 21:41:16 2021,6.846,6.514

Thu Jan 28 21:41:59 2021,6.848,6.512

Thu Jan 28 21:42:42 2021,6.846,6.514

Thu Jan 28 21:43:25 2021,6.848,6.513

Thu Jan 28 21:44:08 2021,6.846,6.514

Thu Jan 28 21:44:51 2021,6.847,6.514

Thu Jan 28 21:45:34 2021,6.847,6.515

Thu Jan 28 21:46:17 2021,6.848,6.517

Thu Jan 28 21:47:00 2021,6.845,6.513

Thu Jan 28 21:47:43 2021,6.847,6.511

Thu Jan 28 21:48:26 2021,6.847,6.518

Thu Jan 28 21:49:08 2021,6.846,6.515

Thu Jan 28 21:49:51 2021,6.845,6.516

Thu Jan 28 21:50:34 2021,6.846,6.517

Thu Jan 28 21:51:17 2021,6.848,6.514

Thu Jan 28 21:52:00 2021,6.848,6.515

Thu Jan 28 21:52:43 2021,6.844,6.515

Thu Jan 28 21:53:26 2021,6.845,6.514

Thu Jan 28 21:54:09 2021,6.848,6.514

Thu Jan 28 21:54:52 2021,6.847,6.518

Thu Jan 28 21:55:35 2021,6.848,6.515

Thu Jan 28 21:56:18 2021,6.845,6.516

Thu Jan 28 21:57:01 2021,6.848,6.518

Thu Jan 28 21:57:44 2021,6.849,6.515

Thu Jan 28 21:58:27 2021,6.847,6.519

Thu Jan 28 21:59:10 2021,6.848,6.515

Thu Jan 28 21:59:53 2021,6.849,6.516

Thu Jan 28 22:00:36 2021,6.849,6.518

Thu Jan 28 22:01:19 2021,6.849,6.518

Thu Jan 28 22:02:02 2021,6.850,6.513

Thu Jan 28 22:02:45 2021,6.850,6.514

Thu Jan 28 22:03:28 2021,6.851,6.520

Thu Jan 28 22:04:11 2021,6.852,6.516

Thu Jan 28 22:04:53 2021,6.852,6.514

Thu Jan 28 22:05:36 2021,6.853,6.515

Thu Jan 28 22:06:19 2021,6.855,6.516

Thu Jan 28 22:07:02 2021,6.854,6.515

Thu Jan 28 22:07:45 2021,6.854,6.517

Thu Jan 28 22:08:28 2021,6.855,6.516

Thu Jan 28 22:09:11 2021,6.854,6.517

Thu Jan 28 22:09:54 2021,6.856,6.520

Thu Jan 28 22:10:37 2021,6.858,6.521

Thu Jan 28 22:11:20 2021,6.857,6.520

Thu Jan 28 22:12:03 2021,6.857,6.514

Thu Jan 28 22:12:46 2021,6.855,6.518

Thu Jan 28 22:13:29 2021,6.855,6.522

Thu Jan 28 22:14:12 2021,6.857,6.517

Thu Jan 28 22:14:55 2021,6.857,6.521

Thu Jan 28 22:15:38 2021,6.858,6.520

Thu Jan 28 22:16:21 2021,6.857,6.521

Thu Jan 28 22:17:04 2021,6.858,6.521

Thu Jan 28 22:17:47 2021,6.859,6.520

Thu Jan 28 22:18:30 2021,6.858,6.517

Thu Jan 28 22:19:12 2021,6.860,6.520

Thu Jan 28 22:19:55 2021,6.859,6.523

Thu Jan 28 22:20:38 2021,6.861,6.521

Thu Jan 28 22:21:21 2021,6.858,6.522

Thu Jan 28 22:22:04 2021,6.861,6.517

Thu Jan 28 22:22:47 2021,6.860,6.520

Thu Jan 28 22:23:30 2021,6.862,6.520

Thu Jan 28 22:24:13 2021,6.860,6.522

Thu Jan 28 22:24:56 2021,6.862,6.520

Thu Jan 28 22:25:39 2021,6.861,6.519

Thu Jan 28 22:26:22 2021,6.859,6.521

Thu Jan 28 22:27:05 2021,6.858,6.517

Thu Jan 28 22:27:48 2021,6.858,6.520

Thu Jan 28 22:28:31 2021,6.857,6.520

Thu Jan 28 22:29:14 2021,6.859,6.519

Thu Jan 28 22:29:57 2021,6.858,6.519

Thu Jan 28 22:30:40 2021,6.857,6.512

Thu Jan 28 22:31:23 2021,6.858,6.517

Thu Jan 28 22:32:06 2021,6.858,6.516

Thu Jan 28 22:32:49 2021,6.859,6.518

Thu Jan 28 22:33:32 2021,6.857,6.514

Thu Jan 28 22:34:15 2021,6.857,6.513

Thu Jan 28 22:34:58 2021,6.857,6.511

Thu Jan 28 22:35:40 2021,6.856,6.511

Thu Jan 28 22:36:23 2021,6.857,6.509

Thu Jan 28 22:37:06 2021,6.857,6.509

Thu Jan 28 22:37:49 2021,6.857,6.511

Thu Jan 28 22:38:32 2021,6.859,6.509

Thu Jan 28 22:39:15 2021,6.860,6.509

Thu Jan 28 22:39:58 2021,6.860,6.508

Thu Jan 28 22:40:41 2021,6.862,6.510

Thu Jan 28 22:41:24 2021,6.862,6.509

Thu Jan 28 22:42:07 2021,6.863,6.506

Thu Jan 28 22:42:50 2021,6.864,6.509

Thu Jan 28 22:43:33 2021,6.863,6.508

Thu Jan 28 22:44:16 2021,6.866,6.512

Thu Jan 28 22:44:59 2021,6.867,6.510

Thu Jan 28 22:45:42 2021,6.866,6.509

Thu Jan 28 22:46:25 2021,6.865,6.508

Thu Jan 28 22:47:08 2021,6.865,6.510

Thu Jan 28 22:47:51 2021,6.864,6.508

Thu Jan 28 22:48:34 2021,6.864,6.508

Thu Jan 28 22:49:17 2021,6.863,6.512

Thu Jan 28 22:49:59 2021,6.865,6.509

Thu Jan 28 22:50:42 2021,6.864,6.514

Thu Jan 28 22:51:25 2021,6.863,6.510

Thu Jan 28 22:52:08 2021,6.863,6.511

Thu Jan 28 22:52:51 2021,6.863,6.512

Thu Jan 28 22:53:34 2021,6.862,6.512

Thu Jan 28 22:54:17 2021,6.860,6.514

Thu Jan 28 22:55:00 2021,6.860,6.511

Thu Jan 28 22:55:43 2021,6.863,6.512

Thu Jan 28 22:56:26 2021,6.861,6.514

Thu Jan 28 22:57:09 2021,6.859,6.512

Thu Jan 28 22:57:52 2021,6.863,6.512

Thu Jan 28 22:58:35 2021,6.863,6.512

Thu Jan 28 22:59:18 2021,6.862,6.513

Thu Jan 28 23:00:01 2021,6.861,6.514

