date, s2, s1
Thu Jan 28 21:18:29 2021,6.409,6.156

Thu Jan 28 21:19:12 2021,6.412,6.157

Thu Jan 28 21:19:55 2021,6.411,6.159

Thu Jan 28 21:20:38 2021,6.409,6.156

Thu Jan 28 21:21:21 2021,6.409,6.155

Thu Jan 28 21:22:04 2021,6.407,6.154

Thu Jan 28 21:22:47 2021,6.410,6.154

Thu Jan 28 21:23:30 2021,6.411,6.157

Thu Jan 28 21:24:13 2021,6.409,6.157

Thu Jan 28 21:24:56 2021,6.412,6.157

Thu Jan 28 21:25:39 2021,6.413,6.155

Thu Jan 28 21:26:22 2021,6.412,6.154

Thu Jan 28 21:27:05 2021,6.411,6.157

Thu Jan 28 21:27:48 2021,6.411,6.154

Thu Jan 28 21:28:31 2021,6.412,6.156

Thu Jan 28 21:29:14 2021,6.412,6.154

Thu Jan 28 21:29:57 2021,6.413,6.156

Thu Jan 28 21:30:40 2021,6.412,6.157

Thu Jan 28 21:31:23 2021,6.411,6.158

Thu Jan 28 21:32:06 2021,6.411,6.158

Thu Jan 28 21:32:49 2021,6.413,6.159

Thu Jan 28 21:33:32 2021,6.413,6.159

Thu Jan 28 21:34:15 2021,6.413,6.159

Thu Jan 28 21:34:58 2021,6.415,6.157

Thu Jan 28 21:35:41 2021,6.411,6.158

Thu Jan 28 21:36:24 2021,6.414,6.160

Thu Jan 28 21:37:07 2021,6.413,6.161

Thu Jan 28 21:37:50 2021,6.414,6.162

Thu Jan 28 21:38:33 2021,6.415,6.161

Thu Jan 28 21:39:16 2021,6.414,6.163

Thu Jan 28 21:39:59 2021,6.413,6.159

Thu Jan 28 21:40:42 2021,6.416,6.160

Thu Jan 28 21:41:25 2021,6.414,6.159

Thu Jan 28 21:42:08 2021,6.416,6.157

Thu Jan 28 21:42:51 2021,6.417,6.160

Thu Jan 28 21:43:34 2021,6.416,6.159

Thu Jan 28 21:44:17 2021,6.416,6.161

Thu Jan 28 21:45:00 2021,6.417,6.161

Thu Jan 28 21:45:43 2021,6.415,6.156

Thu Jan 28 21:46:26 2021,6.415,6.159

Thu Jan 28 21:47:09 2021,6.414,6.161

Thu Jan 28 21:47:52 2021,6.417,6.159

Thu Jan 28 21:48:35 2021,6.417,6.160

Thu Jan 28 21:49:18 2021,6.418,6.161

Thu Jan 28 21:50:01 2021,6.415,6.160

Thu Jan 28 21:50:44 2021,6.416,6.156

Thu Jan 28 21:51:27 2021,6.417,6.156

Thu Jan 28 21:52:10 2021,6.415,6.159

Thu Jan 28 21:52:53 2021,6.416,6.158

Thu Jan 28 21:53:36 2021,6.415,6.159

Thu Jan 28 21:54:19 2021,6.415,6.159

Thu Jan 28 21:55:02 2021,6.417,6.157

Thu Jan 28 21:55:45 2021,6.417,6.159

Thu Jan 28 21:56:28 2021,6.416,6.157

Thu Jan 28 21:57:11 2021,6.416,6.157

Thu Jan 28 21:57:54 2021,6.417,6.159

Thu Jan 28 21:58:37 2021,6.416,6.160

Thu Jan 28 21:59:20 2021,6.417,6.159

Thu Jan 28 22:00:03 2021,6.416,6.159

Thu Jan 28 22:00:46 2021,6.417,6.159

Thu Jan 28 22:01:29 2021,6.416,6.160

Thu Jan 28 22:02:13 2021,6.414,6.158

Thu Jan 28 22:02:56 2021,6.415,6.159

Thu Jan 28 22:03:39 2021,6.416,6.161

Thu Jan 28 22:04:22 2021,6.417,6.162

Thu Jan 28 22:05:05 2021,6.417,6.162

Thu Jan 28 22:05:48 2021,6.416,6.160

Thu Jan 28 22:06:31 2021,6.419,6.160

Thu Jan 28 22:07:14 2021,6.418,6.159

Thu Jan 28 22:07:57 2021,6.417,6.159

Thu Jan 28 22:08:40 2021,6.418,6.160

Thu Jan 28 22:09:23 2021,6.416,6.160

Thu Jan 28 22:10:06 2021,6.416,6.160

Thu Jan 28 22:10:49 2021,6.414,6.161

Thu Jan 28 22:11:32 2021,6.417,6.163

Thu Jan 28 22:12:15 2021,6.417,6.161

Thu Jan 28 22:12:58 2021,6.417,6.160

Thu Jan 28 22:13:41 2021,6.418,6.161

Thu Jan 28 22:14:24 2021,6.416,6.162

Thu Jan 28 22:15:07 2021,6.418,6.162

Thu Jan 28 22:15:50 2021,6.417,6.162

Thu Jan 28 22:16:33 2021,6.418,6.163

Thu Jan 28 22:17:16 2021,6.419,6.163

Thu Jan 28 22:17:59 2021,6.421,6.160

Thu Jan 28 22:18:42 2021,6.420,6.164

Thu Jan 28 22:19:25 2021,6.420,6.163

Thu Jan 28 22:20:08 2021,6.421,6.164

Thu Jan 28 22:20:51 2021,6.420,6.161

Thu Jan 28 22:21:34 2021,6.420,6.165

Thu Jan 28 22:22:17 2021,6.421,6.163

Thu Jan 28 22:23:00 2021,6.420,6.162

Thu Jan 28 22:23:43 2021,6.419,6.160

Thu Jan 28 22:24:26 2021,6.422,6.163

Thu Jan 28 22:25:09 2021,6.421,6.161

Thu Jan 28 22:25:52 2021,6.424,6.163

Thu Jan 28 22:26:35 2021,6.421,6.164

Thu Jan 28 22:27:18 2021,6.421,6.161

Thu Jan 28 22:28:01 2021,6.422,6.164

Thu Jan 28 22:28:44 2021,6.423,6.163

Thu Jan 28 22:29:27 2021,6.423,6.164

Thu Jan 28 22:30:10 2021,6.424,6.164

Thu Jan 28 22:30:53 2021,6.423,6.163

Thu Jan 28 22:31:36 2021,6.423,6.165

Thu Jan 28 22:32:19 2021,6.422,6.163

Thu Jan 28 22:33:02 2021,6.422,6.164

Thu Jan 28 22:33:45 2021,6.421,6.164

Thu Jan 28 22:34:28 2021,6.423,6.168

Thu Jan 28 22:35:11 2021,6.422,6.169

Thu Jan 28 22:35:54 2021,6.421,6.169

Thu Jan 28 22:36:37 2021,6.422,6.167

Thu Jan 28 22:37:20 2021,6.422,6.167

Thu Jan 28 22:38:03 2021,6.421,6.167

Thu Jan 28 22:38:46 2021,6.419,6.167

Thu Jan 28 22:39:29 2021,6.419,6.170

Thu Jan 28 22:40:12 2021,6.419,6.165

Thu Jan 28 22:40:55 2021,6.418,6.165

Thu Jan 28 22:41:38 2021,6.418,6.164

Thu Jan 28 22:42:22 2021,6.418,6.167

Thu Jan 28 22:43:05 2021,6.419,6.167

Thu Jan 28 22:43:48 2021,6.419,6.168

Thu Jan 28 22:44:31 2021,6.419,6.165

Thu Jan 28 22:45:14 2021,6.417,6.166

Thu Jan 28 22:45:57 2021,6.418,6.165

Thu Jan 28 22:46:40 2021,6.418,6.165

Thu Jan 28 22:47:23 2021,6.413,6.165

Thu Jan 28 22:48:06 2021,6.412,6.166

Thu Jan 28 22:48:49 2021,6.410,6.167

Thu Jan 28 22:49:32 2021,6.408,6.167

Thu Jan 28 22:50:15 2021,6.406,6.166

Thu Jan 28 22:50:58 2021,6.404,6.167

Thu Jan 28 22:51:41 2021,6.401,6.169

Thu Jan 28 22:52:24 2021,6.399,6.167

Thu Jan 28 22:53:07 2021,6.398,6.167

Thu Jan 28 22:53:50 2021,6.397,6.166

Thu Jan 28 22:54:33 2021,6.396,6.166

Thu Jan 28 22:55:16 2021,6.396,6.164

Thu Jan 28 22:55:59 2021,6.393,6.165

Thu Jan 28 22:56:42 2021,6.390,6.165

Thu Jan 28 22:57:25 2021,6.392,6.162

Thu Jan 28 22:58:08 2021,6.389,6.164

Thu Jan 28 22:58:51 2021,6.390,6.166

Thu Jan 28 22:59:34 2021,6.387,6.163

Thu Jan 28 23:00:17 2021,6.388,6.164

